Servo_Angle_Deg,Servo_Slide_mm,Left_Wheel_Deg,Right_Wheel_Deg
-50,-0.8451,322.4549,297.5451
-49,-0.7737,322.6029,299.3971
-48,-0.7097,322.8198,301.1802
-47,-0.6521,323.0972,302.9028
-46,-0.6001,323.4283,304.5717
-45,-0.5529,323.8074,306.1926
-44,-0.5099,324.2295,307.7705
-43,-0.4707,324.6905,309.3095
-42,-0.4347,325.1868,310.8132
-41,-0.4017,325.7151,312.2849
-40,-0.3713,326.2728,313.7272
-39,-0.3433,326.8574,315.1426
-38,-0.3173,327.4669,316.5331
-37,-0.2933,328.0993,317.9007
-36,-0.271,328.7531,319.2469
-35,-0.2504,329.4266,320.5734
-34,-0.2311,330.1185,321.8815
-33,-0.2132,330.8278,323.1722
-32,-0.1965,331.5531,324.4469
-31,-0.1809,332.2937,325.7063
-30,-0.1664,333.0486,326.9514
-29,-0.1528,333.817,328.183
-28,-0.1401,334.5981,329.4019
-27,-0.1282,335.3913,330.6087
-26,-0.1171,336.196,331.804
-25,-0.1068,337.0117,332.9883
-24,-0.0971,337.8378,334.1622
-23,-0.088,338.6738,335.3262
-22,-0.0796,339.5193,336.4807
-21,-0.0717,340.374,337.626
-20,-0.0643,341.2375,338.7625
-19,-0.0574,342.1094,339.8906
-18,-0.051,342.9894,341.0106
-17,-0.0451,343.8773,342.1227
-16,-0.0396,344.7729,343.2271
-15,-0.0346,345.6758,344.3242
-14,-0.0299,346.5858,345.4142
-13,-0.0256,347.5029,346.4971
-12,-0.0217,348.4267,347.5733
-11,-0.0181,349.3572,348.6428
-10,-0.0149,350.2942,349.7058
-9,-0.012,351.2376,350.7624
-8,-0.0094,352.1872,351.8128
-7,-0.0072,353.143,352.857
-6,-0.0053,354.1048,353.8952
-5,-0.0037,355.0727,354.9273
-4,-0.0023,356.0464,355.9536
-3,-0.0013,357.0261,356.9739
-2,-0.0006,358.0116,357.9884
-1,-0.0001,359.0029,358.9971
0,0.0,360.0,0.0
1,-0.0001,1.0029,0.9971
2,-0.0006,2.0116,1.9884
3,-0.0013,3.0261,2.9739
4,-0.0023,4.0464,3.9536
5,-0.0037,5.0727,4.9273
6,-0.0053,6.1048,5.8952
7,-0.0072,7.143,6.857
8,-0.0094,8.1872,7.8128
9,-0.012,9.2376,8.7624
10,-0.0149,10.2942,9.7058
11,-0.0181,11.3572,10.6428
12,-0.0217,12.4267,11.5733
13,-0.0256,13.5029,12.4971
14,-0.0299,14.5858,13.4142
15,-0.0346,15.6758,14.3242
16,-0.0396,16.7729,15.2271
17,-0.0451,17.8773,16.1227
18,-0.051,18.9894,17.0106
19,-0.0574,20.1094,17.8906
20,-0.0643,21.2375,18.7625
21,-0.0717,22.374,19.626
22,-0.0796,23.5193,20.4807
23,-0.088,24.6738,21.3262
24,-0.0971,25.8378,22.1622
25,-0.1068,27.0117,22.9883
26,-0.1171,28.196,23.804
27,-0.1282,29.3913,24.6087
28,-0.1401,30.5981,25.4019
29,-0.1528,31.817,26.183
30,-0.1664,33.0486,26.9514
31,-0.1809,34.2937,27.7063
32,-0.1965,35.5531,28.4469
33,-0.2132,36.8278,29.1722
34,-0.2311,38.1185,29.8815
35,-0.2504,39.4266,30.5734
36,-0.271,40.7531,31.2469
37,-0.2933,42.0993,31.9007
38,-0.3173,43.4669,32.5331
39,-0.3433,44.8574,33.1426
40,-0.3713,46.2728,33.7272
41,-0.4017,47.7151,34.2849
42,-0.4347,49.1868,34.8132
43,-0.4707,50.6905,35.3095
44,-0.5099,52.2295,35.7705
45,-0.5529,53.8074,36.1926
46,-0.6001,55.4283,36.5717
47,-0.6521,57.0972,36.9028
48,-0.7097,58.8198,37.1802
49,-0.7737,60.6029,37.3971
50,-0.8451,62.4549,37.5451
